,level_0,AGEGROUP,SEX,INDUSTRY,xo_c,yo_c,xd_c,yd_c,indexes,dest_sa,orig_sa,0,1,2,3,4,5,6,distance,cum_dist
0,0,13,female,it,153.19545009494112,-27.529590519402195,153.22520915687733,-27.533069974590816,10196,30102100917,30502111308,30502111308,30502111308,30102100917,30502111303,30204104405,0,0,0.30513175946834054,0.7519788453710033
1,1,9,male,health,153.02734085703267,-27.49282955454209,153.03761290175092,-27.401509933180627,8539,30503112005,30305107630,30305107630,30503112005,0,0,0,0,0,0.14000176152997773,0.14000176152997773
2,2,9,female,manufacturing,153.06100729899387,-27.558101709789277,153.02177390925235,-27.39473781300198,9615,30102101102,30102101211,30102101211,30102101325,30102101102,0,0,0,0,0.06711586280144935,0.12081136299391643
3,3,7,female,construction,153.26343339118537,-27.54671160989378,153.0256542584644,-27.58276503098483,2792,30102100804,30303106321,30303106321,30102100804,30303106222,0,0,0,0,0.18172574770024602,0.32080239432812546
4,4,8,male,professional,153.2588845467401,-27.547723380015785,153.0281498049046,-27.5110803660014,10469,30503113111,30503113111,30503113111,30503113111,30503113111,0,0,0,0,0.0,0.0
5,5,11,female,health,153.19545009494112,-27.529339038531468,153.21673960857075,-27.56262230036957,2857,30102101212,30101100125,30101100125,30102101212,30101100125,0,0,0,0,0.051650202818525025,0.10330040563705005
6,6,8,female,other,153.19545009494112,-27.49163028024625,153.2282910751945,-27.54448099026248,7918,30501111112,30303106511,30303106511,30501111112,30303106511,0,0,0,0,0.12183471638437082,0.24366943276874165
7,7,5,male,utilities,153.0523384084289,-27.451908963199337,153.02828172119916,-27.401222967552822,399,30404110116,30303106511,30303106511,30404110116,30303106416,0,0,0,0,0.1916401521377033,0.3975930109987813
8,8,9,male,mining,153.2607298646313,-27.526546115214742,153.0419982769831,-27.51437997465546,11477,30305107625,30306107829,30306107829,30305107625,30306107829,0,0,0,0,0.04356805117961087,0.08713610235922174
9,9,7,female,arts,153.0222418095418,-27.49016432961573,153.02394389547052,-27.48684847706545,10518,30501110531,30103101709,30103101709,30501110531,30103101709,0,0,0,0,0.0814695914545359,0.1629391829090718
10,10,7,male,other,153.0260531052891,-27.32413285144653,152.92208697453995,-27.45152840890154,1520,30306107829,30306107829,30306107829,30306107829,30306107829,0,0,0,0,0.0,0.0
11,11,7,male,transport,153.00995780069772,-27.52133394775425,153.26530795909926,-27.609261934523225,5900,30101100615,30102100728,30102100728,30101100615,30102100728,0,0,0,0,0.030073976009599063,0.06014795201919813
12,12,5,male,financial,153.0222418095418,-27.403674244969988,153.27696705176749,-27.52926045031448,9884,30301105142,30101100407,30101100407,30301105142,30101100407,30101100112,30101100605,0,0,0.0945362450896751,0.25925310974994964
13,13,15,female,professional,153.02700190361122,-27.55676395308761,153.21107909800062,-27.48744044308632,8109,30304107016,30103102036,30103102036,30304106711,30103102120,30103101622,30304107016,0,0,0.17868104734402587,0.5205139737798447
14,14,7,male,retail,153.19545009494112,-27.57350102901073,153.2708811012528,-27.541107096880275,6456,30203103603,30401108505,30401108505,30203103603,30401108505,0,0,0,0,0.26459219383438753,0.5291843876687751
15,15,7,male,transport,153.1175101692263,-27.582047705621303,153.01888393627192,-27.564165946673064,8181,30203103708,30204104302,30204104302,30203103708,30203104009,30203104009,30203104009,30203104009,0,0.11251933332375472,0.1520440904541639
16,16,13,female,education,153.24885640933798,-27.46738695633045,153.01959964850914,-27.513073476977688,3556,30204104408,30304107008,30304107008,30204104408,30304107008,30304107008,30304107008,0,0,0.2308479678168527,0.4616959356337054
17,17,5,female,mining,153.02888256549855,-27.38589217648737,153.0018588480427,-27.57932668807299,7424,30504113731,30201102510,30201102510,30201102510,30504113731,30201102510,30201102510,0,0,0.0822751109772577,0.1645502219545154
18,18,12,male,professional,153.0330439429681,-27.5775998261362,153.22391251505323,-27.486700789786987,10536,30101100407,30302105205,30302105205,30101100407,30303106020,0,0,0,0,0.16256816185418282,0.292531144350471
19,19,9,female,health,153.0178087763124,-27.440559403463304,153.21515703303504,-27.43660477326433,1315,30303106416,30103101518,30103101518,30103101518,30303106416,30103101501,30303106416,30103101518,0,0.1036486302082886,0.39927296544224034
20,20,10,male,admin,153.0222418095418,-27.56943026852713,153.01614959721877,-27.363308047181743,6236,30202103117,30503112806,30503112806,30202103117,30503112806,30501110541,30503113107,30503113107,0,0.04481065619967618,0.16429299636220182
21,21,10,female,education,153.22944806530876,-27.490817926783933,153.02905319171194,-27.588292967129625,9813,30101100111,30103101510,30103101510,30101100407,30101100111,30101100305,30103101510,0,0,0.07857630699473782,0.18136519614695945
22,22,7,male,health,153.22345799597412,-27.48830930711033,153.01918986299972,-27.545637074608955,1134,30101100429,30101100447,30101100447,30101100429,30101100447,0,0,0,0,0.015254994180255829,0.030509988360511657
23,23,5,female,arts,153.1907621664367,-27.3944540952632,152.99998535629894,-27.465154216741176,2003,30403109416,30403109311,30403109311,30403109416,0,0,0,0,0,0.04827858092638766,0.04827858092638766
24,24,5,female,health,152.99973211478994,-27.561642579461548,152.99457015954687,-27.485568452906072,10078,30401108409,30403109301,30403109301,30401108409,30403109311,30403109301,30403109312,0,0,0.03218539502653135,0.07860346901510587
25,25,10,male,education,153.04897899298442,-27.532385759638384,153.2107085365998,-27.538288418613188,4025,30204104213,30102101115,30102101115,30102101119,30102101115,30204104213,0,0,0,0.3692123979585941,0.38669149543030945
26,26,11,female,agriculture,152.96057512158026,-27.56697863933869,153.20858432742915,-27.503744637197983,461,30103101801,30302105803,30302105803,30302105406,30103101801,0,0,0,0,0.0946751483318036,0.12713110769879482
27,27,8,male,retail,153.19545009494112,-27.57467455923279,153.00389474031672,-27.58983118665081,11390,30501111204,30202103221,30202103221,30501110531,30501111204,0,0,0,0,0.06758513645579137,0.0740208265115556
28,28,12,female,professional,153.02767552831835,-27.50167691399795,153.2206563887787,-27.468334445134868,5299,30102100718,30503112614,30503112614,30102100718,30503112614,0,0,0,0,0.26328055387271193,0.5265611077454239
29,29,8,female,education,152.97270466865098,-27.523210486313623,153.28356028129963,-27.475517421462705,7550,30203103603,30401108210,30401108210,30203103603,30401108210,0,0,0,0,0.25965698466719184,0.5193139693343837
30,30,6,male,retail,153.0222418095418,-27.45051474123776,153.0474790240821,-27.496915434067404,10311,30501111014,30501111014,30501111014,30501111014,30501111014,0,0,0,0,0.0,0.0
31,31,8,female,education,153.10088166442193,-27.52627148438145,152.98579378405717,-27.553564753375447,9372,30503112613,30201102501,30201102501,30202103423,30503112613,30202103423,30202103423,0,0,0.05887779043719875,0.1886234791816247
32,32,5,male,other,152.8921350466477,-27.381019718415608,153.04067282678687,-27.571800597124188,919,30302105802,30302105802,30302105802,30302105802,30302105802,0,0,0,0,0.0,0.0
33,33,13,female,financial,153.06951051209546,-27.530694369321765,153.03325752791042,-27.60564497517409,11060,30103101622,30501110621,30501110621,30103101622,30501110621,0,0,0,0,0.14299949274249893,0.28599898548499786
34,34,10,male,admin,153.09607401129307,-27.46507234717679,153.07298183923015,-27.548865931999785,10086,30306107807,30301105117,30301105117,30302105712,30306107807,0,0,0,0,0.12089352467515478,0.14065988786151593
